#Acquired:	08/23/2026 10:00:00
#Title:	Alpha Cellulose reference
#Acq. time (s):	15
#Accumulations:	3
#Range (cm-1):	267 - 2004
#Grating:	1800
#Objective:	x50
#Laser:	785nm
#Spectro:	iHR320
1608.02	0.004072927
1609.5	0.004007942
1610.98	0.003908461
1612.47	0.00379566
1613.95	0.00366114
1615.43	0.003505041
1616.91	0.003485207
1618.38	0.003623331
1619.86	0.00370328
1621.34	0.003706182
1622.81	0.003729629
1624.29	0.003765954
1625.76	0.003729898
1627.23	0.00361906
1628.7	0.00355112
1630.17	0.00354161
1631.64	0.003511185
1633.11	0.003457892
1634.58	0.003493264
1636.04	0.003623967
1637.51	0.003712091
1638.97	0.003743521
1640.44	0.003796852
1641.9	0.003876763
1643.36	0.003866205
1644.82	0.0037501
1646.28	0.003758789
1647.74	0.003920509
1649.19	0.003983358
1650.65	0.003928725
1652.11	0.003994768
1653.56	0.004187259
1655.01	0.004279026
1656.47	0.00425929
1657.92	0.004257633
1659.37	0.004274482
1660.82	0.004225318
1662.27	0.004108746
1663.71	0.0040638
1665.16	0.004107624
1666.6	0.004092044
1668.05	0.004016651
1669.49	0.003979814
1670.93	0.003978217
1672.38	0.0040293
1673.82	0.004134455
1675.26	0.004271496
1676.69	0.004432114
1678.13	0.00451074
1679.57	0.004497206
1681	0.004380414
1682.44	0.004154856
1683.87	0.00398068
1685.3	0.003879425
1686.74	0.003853929
1688.17	0.003926848
1689.6	0.003980883
1691.02	0.003985203
1692.45	0.004065515
1693.88	0.004231937
1695.3	0.00421474
1696.73	0.003987221
1698.15	0.003857818
1699.57	0.003839087
1701	0.003794228
1702.42	0.003737909
1703.84	0.003664445
1705.25	0.003560402
1706.67	0.003436706
1708.09	0.003302778
1709.5	0.003128154
1710.92	0.00291378
1712.33	0.002794021
1713.74	0.002780772
1715.16	0.00281634
1716.57	0.002905416
1717.98	0.00296897
1719.38	0.00298035
1720.79	0.003009595
1722.2	0.003058436
1723.6	0.003015195
1725.01	0.002874592
1726.41	0.002759465
1727.82	0.002679625
1729.22	0.002607555
1730.62	0.002552211
1732.02	0.002537334
1733.42	0.002562929
1734.81	0.002576697
1736.21	0.002572332
1737.61	0.002559881
1739	0.002538109
1740.4	0.002502113
1741.79	0.002454257
1743.18	0.002443683
1744.57	0.002471187
1745.96	0.002545461
1747.35	0.002671637
1748.74	0.002744649
1750.12	0.00274358
1751.51	0.002752721
1752.89	0.002784404
1754.28	0.00269899
1755.66	0.002480694
1757.04	0.00241694
1758.42	0.002535148
1759.8	0.002577012
1761.18	0.002547049
1762.56	0.002508929
1763.94	0.00243469
1765.31	0.002476676
1766.69	0.00267014
1768.06	0.002745855
1769.44	0.002672859
1770.81	0.002750248
1772.18	0.002994028
1773.55	0.003102015
1774.92	0.003050291
1776.28	0.003101766
1777.65	0.003269901
1779.02	0.003259717
1780.38	0.003053386
1781.75	0.002952752
1783.11	0.002975721
1784.47	0.002911638
1785.83	0.002766245
1787.19	0.002674111
1788.55	0.002636117
1789.91	0.002598695
1791.27	0.002556046
1792.62	0.002585284
1793.98	0.002697823
1795.33	0.002669986
1796.69	0.002477919
1798.04	0.002354709
1799.39	0.002314229
1800.74	0.0022455
1802.09	0.002158952
1803.44	0.002142108
1804.78	0.002194752
1806.13	0.00225506
1807.47	0.002317262
1808.82	0.002383546
1810.16	0.002439229
1811.5	0.002471518
1812.85	0.002478325
1814.19	0.002403711
1815.52	0.002241841
1816.86	0.00206801
1818.2	0.00189544
1819.54	0.001711675
1820.87	0.001530388
1822.21	0.001402397
1823.54	0.001327868
1824.87	0.001329235
1826.2	0.001416905
1827.53	0.00143057
1828.86	0.001340893
1830.19	0.001314565
1831.52	0.001367341
1832.84	0.001297823
1834.17	0.001087599
1835.49	0.00103666
1836.82	0.001168392
1838.14	0.001198216
1839.46	0.001123335
1840.78	0.001068818
1842.1	0.00101541
1843.42	0.001023056
1844.74	0.001120371
1846.05	0.001130457
1847.37	0.001028767
1848.68	0.00105107
1850	0.001211683
1851.31	0.001280156
1852.62	0.001247454
1853.93	0.001248818
1855.24	0.001279844
1856.55	0.001280363
1857.86	0.001263365
1859.16	0.001237507
1860.47	0.001192647
1861.77	0.001248948
1863.08	0.001422491
1864.38	0.001534321
1865.68	0.001562206
1866.98	0.001617991
1868.28	0.001693608
1869.58	0.001662408
1870.88	0.001537123
1872.17	0.001310746
1873.47	0.000970157
1874.76	0.000815023
1876.06	0.000889726
1877.35	0.000941135
1878.64	0.000970409
1879.93	0.001029604
1881.22	0.001080163
1882.51	0.001210515
1883.8	0.001441921
1885.08	0.001483043
1886.37	0.001296093
1887.65	0.001219393
1888.94	0.00127283
1890.22	0.00121894
1891.5	0.001071274
1892.78	0.000942812
1894.06	0.00082482
1895.34	0.000790353
1896.62	0.000856223
1897.9	0.000921625
1899.17	0.000979485
1900.45	0.001005028
1901.72	0.000973707
1902.99	0.000952358
1904.26	0.000963936
1905.54	0.000825893
1906.81	0.000510385
1908.07	0.000415255
1909.34	0.000588054
1910.61	0.000598364
1911.87	0.00041999
1913.14	0.00040237
1914.4	0.000559881
1915.67	0.000560454
1916.93	0.000378826
1918.19	0.000392123
1919.45	0.000624626
1920.71	0.000681066
1921.97	0.000540555
1923.22	0.0004995
1924.48	0.000555449
1925.73	0.000545235
1926.99	0.000486284
1928.24	0.000381621
1929.49	0.000210828
1930.74	0.000148258
1931.99	0.000224007
1933.24	0.000214088
1934.49	0.000107402
1935.74	7.53665E-05
1936.98	0.000111222
1938.23	0.00016297
1939.47	0.000247671
1940.71	0.00025789
1941.96	0.000166033
1943.2	0.000180929
1944.44	0.000323359
1945.68	0.000367868
1946.91	0.000311445
1948.15	0.000297492
1949.39	0.000319083
1950.62	0.000403214
1951.86	0.000571341
1953.09	0.000707541
1954.32	0.00079224
1955.55	0.000946297
1956.78	0.001163172
1958.01	0.001336331
1959.24	0.001465321
1960.47	0.001496764
1961.69	0.001419427
1962.92	0.001334709
1964.14	0.001250538
1965.37	0.001230158
1966.59	0.001305255
1967.81	0.001335613
1969.03	0.001304468
1970.25	0.001394668
1971.47	0.001612389
1972.69	0.001781371
1973.9	0.001895735
1975.12	0.001997624
1976.33	0.002070456
1977.54	0.002159401
1978.76	0.002277831
1979.97	0.002356009
1981.18	0.002389393
1982.39	0.00246774
1983.6	0.002598648
1984.8	0.002706369
1986.01	0.002781027
1987.21	0.002911875
1988.42	0.003104526
1989.62	0.003195566
1990.82	0.003165519
1992.03	0.003167437
1993.23	0.003211691
1994.43	0.003158978
1995.62	0.003005323
1996.82	0.002917717
1998.02	0.002910409
1999.21	0.002852728
2000.41	0.002749262
2001.6	0.002672274
2002.79	0.002616684
2003.98	0.002606679
